series_id,indicator_name,frequency,fecha,valor,anio,mes,dia,trimestre
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-16,1.75,2020,3,16,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-17,1.0,2020,3,17,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-18,1.0,2020,3,18,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-19,1.0,2020,3,19,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-20,1.0,2020,3,20,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-23,1.0,2020,3,23,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-24,1.0,2020,3,24,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-25,1.0,2020,3,25,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-26,1.0,2020,3,26,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-27,1.0,2020,3,27,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-30,1.0,2020,3,30,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-03-31,1.0,2020,3,31,1
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-01,0.5,2020,4,1,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-02,0.5,2020,4,2,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-03,0.5,2020,4,3,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-06,0.5,2020,4,6,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-07,0.5,2020,4,7,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-08,0.5,2020,4,8,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-09,0.5,2020,4,9,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-13,0.5,2020,4,13,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-14,0.5,2020,4,14,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-15,0.5,2020,4,15,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-16,0.5,2020,4,16,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-17,0.5,2020,4,17,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-20,0.5,2020,4,20,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-21,0.5,2020,4,21,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-22,0.5,2020,4,22,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-23,0.5,2020,4,23,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-24,0.5,2020,4,24,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-27,0.5,2020,4,27,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-28,0.5,2020,4,28,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-29,0.5,2020,4,29,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-04-30,0.5,2020,4,30,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-04,0.5,2020,5,4,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-05,0.5,2020,5,5,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-06,0.5,2020,5,6,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-07,0.5,2020,5,7,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-08,0.5,2020,5,8,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-11,0.5,2020,5,11,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-12,0.5,2020,5,12,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-13,0.5,2020,5,13,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-14,0.5,2020,5,14,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-15,0.5,2020,5,15,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-18,0.5,2020,5,18,2
F022.TPM.TIN.D001.NO.Z.D,Tasa de Política Monetaria,DAILY,2020-05-19,0.5,2020,5,19,2
