series_id,indicator_name,frequency,fecha,valor,anio,mes,dia,trimestre
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-06-01,-0.1,2024,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-07-01,0.7,2024,7,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-08-01,0.3,2024,8,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-09-01,0.1,2024,9,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-10-01,1.0,2024,10,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-11-01,0.2,2024,11,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2024-12-01,-0.2,2024,12,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-01-01,1.1,2025,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-02-01,0.4,2025,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-03-01,0.5,2025,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-04-01,0.2,2025,4,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-05-01,0.2,2025,5,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-06-01,-0.4,2025,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-07-01,0.9,2025,7,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-08-01,0.0,2025,8,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-09-01,0.4,2025,9,1,3
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-10-01,0.0,2025,10,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-11-01,0.3,2025,11,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2025-12-01,-0.2,2025,12,1,4
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2026-01-01,0.4,2026,1,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2026-02-01,0.0,2026,2,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2026-03-01,1.0,2026,3,1,1
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2026-04-01,1.3,2026,4,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2026-05-01,0.2,2026,5,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2026-06-01,0.0,2026,6,1,2
F074.IPC.VAR.Z.Z.C.M,IPC - Variación mensual,MONTHLY,2026-07-01,0.1,2026,7,1,3
